Team,Division,W,L,T,color
Patriots,AFC East,14,2,0,#C80815
Dolphins,AFC North,10,6,0,#084815
Bill,AFC East,7,9,0,#383a15
Jets,AFC North,15,11,0,#A80815
Bdffe21asf,AFC East,6,9,2,#480815
Teasns,AFC South,4,56,1,#880815
Chahjr,AFC East,33,2,0,#380815
dfer3,AFC East,32,5,1,#780815
asfwer,AFC West,3,6,0,#780815
hdfds,AFC East,52,8,3,#D80A15
Bill234,AFC East,7,9,0,#380a15
Jets33,AFC North,43,7,0,#F80815
Bdffasf,AFC East,6,9,1,#480815
Teasnssaf,AFC South,4,56,1,#880815
Chahjrewqe,AFC North,33,2,0,#380815
drtfer3,AFC East,32,7,1,#780815
asfetwer,AFC South,33,6,0,#080815
23Dolphins,AFC North,23,6,0,#084815
Brreill,AFC East,3,9,0,#380a15
Jewertts,AFC West,21,11,0,#F80815
Bdf23fasf,AFC West,6,9,1,#480815
Tearqwsns,AFC South,55,56,1,#880815
Chawerdsfhjr,AFC North,5,2,0,#380415
1asfetwer,AFC South,13,6,0,#080815
2fd3Dolphins,AFC North,23,6,0,#084815
Brrfeill,AFC West,35,9,0,#380a15
Jewdertts,AFC East,32,11,0,#F80815
Bdfda23fasf,AFC East,16,9,1,#480815
Tearqwe34sns,AFC South,65,56,1,#880815
Chaweadrdsfhjr,AFC North,5,2,0,#E80815
asfetweffr,AFC South,13,6,0,#081815
23Ddolphins,AFC East,6,6,0,#064815
Br443reill,AFC East,3,9,0,#380a15
Je13wertts,AFC East,33,11,0,#F80815
Bdf4223fasf,AFC East,6,9,1,#480815
T2earqwsns,AFC South,41,56,1,#880815
Cha3werdsfhjr,AFC North,6,2,0,#420815
